14.09.20;263752;263752
15.09.20;285462;285462
16.09.20;304535;304535
17.09.20;314886;314886
18.09.20;325921;325921
19.09.20;292119;292119
20.09.20;252114;252114
21.09.20;276086;276086
22.09.20;284514;284514
23.09.20;276092;276092
24.09.20;353037;353037
25.09.20;330870;330870
26.09.20;288442;288442
27.09.20;251391;251391
28.09.20;254780;254780
29.09.20;282668;282668
30.09.20;326210;326210
1.10.20;318303;318303
2.10.20;297866;297866
3.10.20;332044;332044
4.10.20;261397;261397
5.10.20;301023;301023
6.10.20;326519;326519
7.10.20;350997;350997
8.10.20;361327;361327
9.10.20;360897;360897
10.10.20;357101;357101
11.10.20;286912;286912
12.10.20;291766;291766
13.10.20;319259;319259
14.10.20;382334;382334
15.10.20;406984;406984
16.10.20;411771;411771
17.10.20;372657;372657
18.10.20;316563;316563
19.10.20;387210;387210
20.10.20;389002;389002
21.10.20;444890;444890
22.10.20;472719;472719
23.10.20;496798;496798
24.10.20;456784;456784
25.10.20;360653;360653
26.10.20;486411;486411
27.10.20;470233;470233
28.10.20;511872;511872
29.10.20;550415;550415
30.10.20;571055;571055
31.10.20;476765;476765
1.11.20;462384;462384
2.11.20;563127;563127
3.11.20;553745;553745
4.11.20;511552;511552
5.11.20;596558;596558
6.11.20;644854;644854
7.11.20;596892;596892
8.11.20;483974;483974
9.11.20;501532;501532
10.11.20;559377;559377
11.11.20;648606;648606
12.11.20;649543;649543
13.11.20;652073;652073
14.11.20;594970;594970
15.11.20;473941;473941
16.11.20;534457;534457
17.11.20;611220;611220
18.11.20;627103;627103
19.11.20;653585;653585
20.11.20;668744;668744
21.11.20;587564;587564
22.11.20;487981;487981
23.11.20;525319;525319
24.11.20;590261;590261
25.11.20;636224;636224
26.11.20;582475;582475
27.11.20;687148;687148
28.11.20;586031;586031
29.11.20;488583;488583
30.11.20;508641;508641
1.12.20;612097;612097
2.12.20;651398;651398
3.12.20;694328;694328
4.12.20;683276;683276
5.12.20;642163;642163
6.12.20;538754;538754
7.12.20;520019;520019
8.12.20;643528;643528
9.12.20;669911;669911
10.12.20;1498213;1498213
11.12.20;704497;704497
12.12.20;634850;634850
13.12.20;530838;530838
14.12.20;525387;525387
15.12.20;636206;636206
16.12.20;733726;733726
17.12.20;739582;739582
18.12.20;720462;720462
19.12.20;611253;611253
20.12.20;533473;533473
21.12.20;549297;549297
22.12.20;650261;650261
23.12.20;695122;695122
24.12.20;666640;666640
25.12.20;465550;465550
26.12.20;512602;512602
27.12.20;438453;438453
28.12.20;496323;496323
29.12.20;664428;664428
30.12.20;761230;761230
31.12.20;725009;725009
1.01.21;533018;533018
2.01.21;626359;626359
3.01.21;532796;532796
4.01.21;554118;554118
5.01.21;740122;740122
6.01.21;783372;783372
7.01.21;880837;880837
8.01.21;803222;803222
9.01.21;760994;760994
10.01.21;589134;589134
11.01.21;619930;619930
12.01.21;705508;705508
13.01.21;748388;748388
14.01.21;755228;755228
15.01.21;767187;767187
16.01.21;639144;639144
17.01.21;529212;529212
18.01.21;515066;515066
19.01.21;608426;608426
20.01.21;692937;692937
21.01.21;656323;656323
22.01.21;659061;659061
23.01.21;568124;568124
24.01.21;445654;445654
25.01.21;497340;497340
26.01.21;556238;556238
27.01.21;598361;598361
28.01.21;614251;614251
29.01.21;590443;590443
30.01.21;515330;515330
31.01.21;381639;381639
1.02.21;446774;446774
2.02.21;457957;457957
3.02.21;521981;521981
4.02.21;466907;466907
5.02.21;535428;535428
6.02.21;372125;372125
7.02.21;398078;398078
8.02.21;315893;315893
9.02.21;428033;428033
10.02.21;435741;435741
11.02.21;441465;441465
12.02.21;428689;428689
13.02.21;373301;373301
14.02.21;293850;293850
15.02.21;283166;283166
16.02.21;351020;351020
17.02.21;395555;395555
18.02.21;403516;403516
19.02.21;412519;412519
20.02.21;370455;370455
21.02.21;314446;314446
22.02.21;288438;288438
23.02.21;388853;388853
24.02.21;444936;444936
25.02.21;447478;447478
26.02.21;443039;443039
27.02.21;389230;389230
28.02.21;303509;303509
1.03.21;305864;305864
2.03.21;310288;310288
3.03.21;441142;441142
4.03.21;453049;453049
5.03.21;447054;447054
6.03.21;410533;410533
7.03.21;368312;368312
8.03.21;298723;298723
9.03.21;414665;414665
10.03.21;467079;467079
11.03.21;476896;476896
12.03.21;489328;489328
13.03.21;454116;454116
14.03.21;360385;360385
15.03.21;348901;348901
16.03.21;473013;473013
17.03.21;539285;539285
18.03.21;553723;553723
19.03.21;561679;561679
20.03.21;498820;498820
21.03.21;423315;423315
22.03.21;416821;416821
23.03.21;514245;514245
24.03.21;633581;633581
25.03.21;651350;651350
26.03.21;641351;641351
27.03.21;584592;584592
28.03.21;469958;469958
29.03.21;458405;458405
30.03.21;568273;568273
31.03.21;683205;683205
1.04.21;711787;711787
2.04.21;633739;633739
3.04.21;530494;530494
4.04.21;551752;551752
5.04.21;489584;489584
6.04.21;604087;604087
7.04.21;684346;684346
8.04.21;839850;839850
9.04.21;748045;748045
10.04.21;664507;664507
11.04.21;690741;690741
12.04.21;616625;616625
13.04.21;779567;779567
14.04.21;817025;817025
15.04.21;816761;816761
16.04.21;854855;854855
17.04.21;788042;788042
18.04.21;685495;685495
19.04.21;693422;693422
20.04.21;854425;854425
21.04.21;889975;889975
22.04.21;899755;899755
23.04.21;897839;897839
24.04.21;471407;471407
